Time,Day_of_week,Age_band_of_driver,Drivers_gender,Educational_level,Vehicle_driver_relation,Driving_experience,Type_of_vehicle,Owner_of_vehicle,Service_year_of_vehicle,Defect_of_vehicle,Area_accident_occured,Lanes_or_Medians,Road_allignment,Types_of_Junction,Road_surface_type,Road_surface_conditions,Light_conditions,Weather_conditions,Type_of_collision,Number_of_vehicles_involved,Number_of_casualties,Vehicle_movement,Casualty_class,Casualty_gender,Age_band_of_casualty,Work_of_casuality,Fitness_of_casuality,Pedestrian_movement,Cause_of_accident,Accident_severity
8:30:00,Tuesday,31-50,Male,High school,Employee,No Licence,Lorry (41?100Q),Owner,Unknown,No defect,Residential areas,Double carriageway (median),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Unknown,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Male,31-50,Driver,Normal,Not a Pedestrian,Driving to the left,Slight Injury
21:08:00,Saturday,31-50,Male,Junior high school,Owner,5-10yr,Taxi,Owner,Above 10yr,No defect,Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Going straight,na,na,na,Driver,Normal,Not a Pedestrian,Changing lane to the left,Slight Injury
15:48:00,Monday,Under 18,Male,Junior high school,Employee,5-10yr,Automobile,Owner,1-2yr,No defect,Other,Double carriageway (median),Tangent road with flat terrain,Other,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,2,2,Going straight,Driver or rider,Male,31-50,Driver,Normal,Not a Pedestrian,Moving Backward,Slight Injury
6:45:00,Thursday,31-50,Male,Junior high school,Employee,Above 10yr,Lorry (41?100Q),Owner,Unknown,No defect,Church areas,Undivided Two way,Tangent road with flat terrain,Y,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Male,31-50,Driver,Normal,Not a Pedestrian,Changing lane to the right,Slight Injury
6:45:00,Thursday,31-50,Male,Junior high school,Owner,Above 10yr,Lorry (11?40Q),Owner,Unknown,No defect,Other,Undivided Two way,Tangent road with flat terrain,Y,Earth roads,Dry,Daylight,Normal,Collision with pedestrians,2,1,Going straight,Passenger,Female,31-50,Driver,Normal,Not a Pedestrian,Other,Slight Injury
18:30:00,Monday,Over 51,Male,Elementary school,Owner,Above 10yr,Lorry (41?100Q),Owner,2-5yrs,No defect,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Male,31-50,Driver,Normal,Not a Pedestrian,Driving carelessly,Slight Injury
16:24:00,Tuesday,Under 18,Male,Junior high school,Owner,5-10yr,Automobile,Owner,Unknown,,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,2,Going straight,na,na,na,Driver,Normal,Not a Pedestrian,Moving Backward,Slight Injury
16:24:00,Tuesday,31-50,Male,Junior high school,Owner,Above 10yr,Other,Owner,Above 10yr,,Industrial areas,Undivided Two way,Tangent road with flat terrain,Y,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,2,Going straight,Driver or rider,Male,31-50,Driver,Normal,Not a Pedestrian,No distancing,Slight Injury
3:29:00,Tuesday,Unknown,Male,Elementary school,Employee,5-10yr,Automobile,Owner,1-2yr,No defect,Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Wet or damp,Darkness - no lighting,Windy,Vehicle with vehicle collision,2,2,Getting off,na,na,na,Driver,Normal,Not a Pedestrian,Changing lane to the left,Slight Injury
17:50:00,Friday,18-30,Male,Elementary school,Owner,Above 10yr,Long lorry,Owner,Above 10yr,,Residential areas,Undivided Two way,Tangent road with flat terrain,Y,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Getting off,Driver or rider,Male,18-30,Driver,Normal,Not a Pedestrian,No distancing,Slight Injury
17:50:00,Friday,31-50,Male,Junior high school,Owner,Below 1yr,Long lorry,Owner,5-10yrs,,Church areas,Undivided Two way,Steep grade downward with mountainous terrain,Y,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Moving Backward,Driver or rider,Male,31-50,Driver,Normal,Not a Pedestrian,Other,Slight Injury
6:25:00,Wednesday,Unknown,Male,Junior high school,Owner,2-5yr,Lorry (41?100Q),Owner,Unknown,No defect,,Other,Tangent road with flat terrain,Other,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,2,1,Going straight,na,na,na,Driver,Normal,Not a Pedestrian,No priority to pedestrian,Slight Injury
15:00:00,Sunday,18-30,Male,Elementary school,Owner,Below 1yr,Automobile,Owner,Unknown,No defect,Church areas,Two-way (divided with solid lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Wet or damp,Daylight,Raining,Vehicle with vehicle collision,2,2,Going straight,Driver or rider,Male,18-30,Driver,Normal,Not a Pedestrian,Driving carelessly,Slight Injury
20:17:00,Sunday,Under 18,Male,Junior high school,Owner,5-10yr,Automobile,Owner,Unknown,No defect,Church areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,+,Earth roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,na,na,na,Driver,Normal,Not a Pedestrian,Getting off the vehicle improperly,Slight Injury
20:17:00,Sunday,31-50,Male,Junior high school,Owner,5-10yr,Automobile,Owner,Above 10yr,No defect,Other,Undivided Two way,Tangent road with flat terrain,+,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,2,1,Going straight,Driver or rider,Female,5,Self-employed,Normal,Not a Pedestrian,Driving carelessly,Slight Injury
20:30:00,Monday,31-50,Male,Junior high school,Employee,1-2yr,Public (> 45 seats),Owner,5-10yrs,No defect,School areas,Other,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Male,31-50,Employee,Normal,Not a Pedestrian,No priority to vehicle,Slight Injury
15:31:00,Monday,31-50,Male,High school,Owner,5-10yr,Lorry (11?40Q),Owner,Above 10yr,No defect,Residential areas,Undivided Two way,Tangent road with flat terrain,Other,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,1,1,Going straight,Driver or rider,Male,31-50,Driver,Normal,Not a Pedestrian,Changing lane to the right,Slight Injury
18:00:00,Saturday,Over 51,Male,Junior high school,Employee,5-10yr,Lorry (41?100Q),Owner,Above 10yr,No defect,Office areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Turnover,Driver or rider,Male,31-50,Driver,Normal,Not a Pedestrian,No distancing,Slight Injury
17:20:00,Thursday,Unknown,Male,Junior high school,Employee,5-10yr,Automobile,Owner,Above 10yr,No defect,Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Getting off,Driver or rider,Male,18-30,Self-employed,Normal,Not a Pedestrian,Changing lane to the right,Slight Injury
12:20:00,Friday,Unknown,Male,Junior high school,Employee,No Licence,Pick up upto 10Q,Owner,5-10yrs,No defect,Residential areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Moving Backward,na,na,na,Self-employed,Normal,Not a Pedestrian,No priority to vehicle,Slight Injury
18:00:00,Friday,31-50,Male,Elementary school,Employee,5-10yr,Automobile,Owner,1-2yr,No defect,Other,Other,Tangent road with flat terrain,Other,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,3,2,Overtaking,na,na,na,Driver,Normal,Not a Pedestrian,No priority to vehicle,Slight Injury
18:00:00,Friday,Over 51,Male,Elementary school,Employee,5-10yr,Pick up upto 10Q,Owner,5-10yrs,No defect,Other,Undivided Two way,Tangent road with flat terrain,Other,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,3,2,Going straight,Driver or rider,Male,31-50,Driver,Normal,Not a Pedestrian,Moving Backward,Slight Injury
18:00:00,Friday,Over 51,Male,Junior high school,Employee,5-10yr,Motorcycle,Owner,5-10yrs,No defect,Other,One way,Tangent road with flat terrain,Other,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,3,2,Going straight,na,na,na,Other,Normal,Not a Pedestrian,Turnover,Slight Injury
18:00:00,Friday,Over 51,Male,High school,Employee,5-10yr,Stationwagen,Owner,1-2yr,No defect,Hospital areas,Undivided Two way,Tangent road with flat terrain,Other,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,3,2,Going straight,na,na,na,Self-employed,Normal,Not a Pedestrian,No distancing,Slight Injury
1:20:00,Sunday,31-50,Male,Junior high school,Employee,5-10yr,Lorry (41?100Q),Owner,2-5yrs,No defect,Residential areas,Undivided Two way,Tangent road with flat terrain,Y,Asphalt roads,Wet or damp,Darkness - lights lit,Raining,Vehicle with vehicle collision,1,1,Reversing,Driver or rider,Male,31-50,Self-employed,Normal,Not a Pedestrian,No distancing,Slight Injury
7:10:00,Thursday,18-30,Male,Junior high school,Employee,2-5yr,Taxi,Owner,5-10yrs,No defect,Residential areas,One way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Getting off,Pedestrian,Male,Under 18,Driver,Normal,Unknown or other,No distancing,Slight Injury
7:10:00,Thursday,31-50,Male,Writing & reading,Employee,5-10yr,Automobile,Owner,5-10yrs,No defect,Residential areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Collision with pedestrians,2,1,Going straight,Passenger,Female,31-50,Employee,Normal,Not a Pedestrian,Changing lane to the left,Slight Injury
8:23:00,Tuesday,Unknown,Male,Junior high school,Employee,1-2yr,Automobile,Owner,1-2yr,No defect,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,+,Gravel roads,Wet or damp,Daylight,Raining,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Male,18-30,Driver,Normal,Not a Pedestrian,Driving at high speed,Slight Injury
17:25:00,Tuesday,18-30,Male,Writing & reading,Employee,Below 1yr,Public (12 seats),Owner,2-5yrs,No defect,Other,Other,Tangent road with flat terrain,+,Asphalt roads,Wet or damp,Daylight,Raining,Vehicle with vehicle collision,2,2,Reversing,na,na,na,Driver,Normal,Not a Pedestrian,Overtaking,Slight Injury
17:25:00,Tuesday,Over 51,Male,Elementary school,Employee,1-2yr,Lorry (11?40Q),Owner,Unknown,No defect,Office areas,Double carriageway (median),Tangent road with flat terrain,+,Asphalt roads,Wet or damp,Daylight,Raining,Vehicle with vehicle collision,2,2,Going straight,Driver or rider,Male,18-30,Driver,Normal,Not a Pedestrian,Other,Slight Injury
9:30:00,Sunday,Over 51,Male,Junior high school,Employee,Above 10yr,Lorry (11?40Q),Owner,Unknown,No defect,Office areas,,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,2,1,Going straight,na,na,na,Driver,Normal,Not a Pedestrian,Changing lane to the left,Slight Injury
14:35:00,Monday,Unknown,Female,Junior high school,Owner,Below 1yr,Automobile,Owner,Unknown,,Other,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Male,18-30,Driver,Normal,Not a Pedestrian,No distancing,Slight Injury
14:35:00,Monday,18-30,Male,Junior high school,Employee,2-5yr,Taxi,Owner,Unknown,,Residential areas,,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Waiting to go,Passenger,Female,18-30,Driver,Normal,Not a Pedestrian,Moving Backward,Slight Injury
18:05:00,Wednesday,Under 18,Male,Junior high school,Employee,2-5yr,Long lorry,Owner,5-10yrs,,Church areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,3,2,Going straight,Pedestrian,Female,Over 51,Driver,Normal,Not a Pedestrian,Changing lane to the left,Slight Injury
18:05:00,Wednesday,Under 18,Male,Elementary school,Employee,Above 10yr,Lorry (11?40Q),Owner,5-10yrs,,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,3,2,Going straight,Driver or rider,Male,31-50,Driver,Normal,Not a Pedestrian,Changing lane to the left,Slight Injury
18:05:00,Wednesday,Over 51,Male,Elementary school,Employee,Above 10yr,Lorry (11?40Q),Owner,Unknown,,Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,3,2,Going straight,na,na,na,Self-employed,Normal,Not a Pedestrian,No priority to pedestrian,Slight Injury
12:55:00,Wednesday,18-30,Male,Elementary school,Other,Above 10yr,Long lorry,Owner,2-5yrs,,Other,Undivided Two way,Tangent road with flat terrain,Y,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Getting off,Driver or rider,Male,18-30,Driver,Normal,Not a Pedestrian,Changing lane to the left,Slight Injury
12:55:00,Wednesday,31-50,Male,Junior high school,Employee,Above 10yr,Turbo,Owner,2-5yrs,,Residential areas,Undivided Two way,Tangent road with flat terrain,Y,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,na,na,na,Driver,Normal,Not a Pedestrian,Driving carelessly,Slight Injury
15:42:00,Sunday,Unknown,Female,Junior high school,Employee,Above 10yr,Automobile,Owner,Unknown,No defect,Other,Undivided Two way,Tangent road with flat terrain,Y,Earth roads,Flood over 3cm. deep,Daylight,Raining,Vehicle with vehicle collision,2,1,Turnover,Driver or rider,Male,31-50,Driver,Normal,Not a Pedestrian,No distancing,Slight Injury
15:42:00,Sunday,18-30,Male,Junior high school,Employee,Below 1yr,Automobile,Owner,Unknown,No defect,Other,Double carriageway (median),Tangent road with flat terrain,Y,Asphalt roads,Flood over 3cm. deep,Daylight,Raining,Vehicle with vehicle collision,2,1,Going straight,Pedestrian,Female,18-30,Driver,Normal,Not a Pedestrian,Changing lane to the left,Slight Injury
21:00:00,Sunday,Under 18,Male,Junior high school,Employee,1-2yr,Automobile,Owner,Unknown,,Office areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Darkness - no lighting,Normal,Collision with pedestrians,2,1,Going straight,Driver or rider,Male,Under 18,Self-employed,Normal,Not a Pedestrian,Driving carelessly,Slight Injury
16:50:00,Wednesday,18-30,Male,High school,Employee,5-10yr,Long lorry,Owner,Unknown,,Office areas,One way,Tangent road with flat terrain,No junction,Gravel roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,2,Going straight,na,na,na,Driver,Normal,Not a Pedestrian,Changing lane to the right,Slight Injury
16:50:00,Wednesday,31-50,Male,Junior high school,Employee,1-2yr,Public (13?45 seats),Owner,Unknown,No defect,Other,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Collision with pedestrians,2,2,Going straight,Pedestrian,Male,18-30,Self-employed,Normal,Unknown or other,Moving Backward,Slight Injury
6:28:00,Wednesday,31-50,Male,Junior high school,Employee,Above 10yr,Stationwagen,Owner,Unknown,No defect,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Male,31-50,Driver,Normal,Not a Pedestrian,Driving under the influence of drugs,Slight Injury
14:30:00,Monday,Over 51,Male,Junior high school,Owner,5-10yr,Pick up upto 10Q,Owner,5-10yrs,No defect,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Turnover,Driver or rider,Female,Under 18,Unknown,Normal,Not a Pedestrian,Changing lane to the right,Slight Injury
14:45:00,Saturday,Over 51,Male,Elementary school,Owner,Above 10yr,Automobile,Governmental,Above 10yr,No defect,School areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,2,1,Going straight,na,na,na,Other,Normal,Not a Pedestrian,Overturning,Slight Injury
18:10:00,Tuesday,Unknown,Male,High school,Owner,5-10yr,Public (> 45 seats),Owner,Above 10yr,No defect,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Collision with pedestrians,2,1,Turnover,na,na,na,Driver,Normal,Not a Pedestrian,Changing lane to the left,Slight Injury
14:30:00,Wednesday,Unknown,Male,Elementary school,Owner,Above 10yr,Automobile,Owner,1-2yr,No defect,Other,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,2,Going straight,Pedestrian,Female,31-50,Driver,Normal,Not a Pedestrian,No distancing,Slight Injury
12:05:00,Thursday,31-50,Male,Junior high school,Employee,Above 10yr,Lorry (41?100Q),Owner,Above 10yr,,Office areas,Other,Tangent road with mountainous terrain and,+,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,2,Overtaking,na,na,na,Self-employed,Normal,Not a Pedestrian,Changing lane to the right,Slight Injury
12:15:00,Saturday,Over 51,Male,Junior high school,Employee,5-10yr,Lorry (41?100Q),Owner,Above 10yr,No defect,Residential areas,Other,Tangent road with flat terrain,Y,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,2,Reversing,Pedestrian,Female,31-50,Self-employed,Normal,Not a Pedestrian,No distancing,Slight Injury
7:21:00,Thursday,18-30,Male,Elementary school,Employee,5-10yr,Lorry (41?100Q),Owner,5-10yrs,No defect,Other,Other,Tangent road with flat terrain,+,Asphalt roads,Dry,Daylight,Normal,Rollover,1,1,Getting off,na,na,na,Driver,Normal,Not a Pedestrian,Other,Slight Injury
17:51:00,Friday,31-50,Male,Elementary school,Employee,5-10yr,Public (12 seats),Owner,Above 10yr,No defect,Other,Undivided Two way,Tangent road with flat terrain,Y,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,2,1,Reversing,Driver or rider,Male,31-50,Driver,Normal,Not a Pedestrian,Changing lane to the right,Slight Injury
17:51:00,Friday,31-50,Male,Junior high school,Employee,5-10yr,Public (> 45 seats),Owner,Above 10yr,No defect,Church areas,Other,Tangent road with flat terrain,Y,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Turnover,Driver or rider,Male,18-30,Self-employed,Normal,Not a Pedestrian,No priority to pedestrian,Slight Injury
17:17:00,Friday,Unknown,Male,Writing & reading,Employee,Below 1yr,Stationwagen,Owner,Above 10yr,No defect,Office areas,Undivided Two way,Gentle horizontal curve,+,Asphalt roads,Dry,Daylight,Other,Collision with pedestrians,2,1,Going straight,Driver or rider,Male,31-50,Self-employed,NormalNormal,Not a Pedestrian,Changing lane to the right,Slight Injury
17:17:00,Friday,Over 51,Male,Elementary school,Employee,1-2yr,Pick up upto 10Q,Owner,5-10yrs,No defect,Other,Double carriageway (median),Gentle horizontal curve,+,Asphalt roads,Dry,Daylight,Other,Collision with pedestrians,2,1,Going straight,na,na,na,Driver,Normal,Not a Pedestrian,Changing lane to the left,Slight Injury
18:48:00,Friday,18-30,Male,Junior high school,Employee,1-2yr,Automobile,Owner,5-10yrs,No defect,Church areas,Unknown,Tangent road with mountainous terrain and,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Male,18-30,Other,Normal,Not a Pedestrian,Driving carelessly,Slight Injury
18:33:00,Saturday,31-50,Male,Junior high school,Owner,Below 1yr,Lorry (41?100Q),Owner,Above 10yr,,Office areas,Undivided Two way,Tangent road with flat terrain,No junction,Gravel roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Male,31-50,Other,Normal,Not a Pedestrian,Moving Backward,Slight Injury
9:51:00,Sunday,31-50,Male,Writing & reading,Employee,5-10yr,Lorry (41?100Q),Owner,2-5yrs,No defect,Other,Other,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,2,1,Going straight,na,na,na,Driver,Normal,Not a Pedestrian,No distancing,Slight Injury
9:51:00,Sunday,Over 51,Male,Writing & reading,Employee,5-10yr,Pick up upto 10Q,Owner,Above 10yr,,Church areas,Two-way (divided with broken lines road marking),Steep grade upward with mountainous terrain,No junction,Earth roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,na,na,na,Driver,Normal,Not a Pedestrian,No distancing,Slight Injury
10:49:00,Wednesday,18-30,Male,Junior high school,Employee,2-5yr,Automobile,Governmental,Above 10yr,,Other,Double carriageway (median),Tangent road with flat terrain,Other,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Moving Backward,na,na,na,Driver,Normal,Not a Pedestrian,Changing lane to the left,Slight Injury
8:59:00,Thursday,31-50,Male,Junior high school,Employee,Above 10yr,Automobile,Owner,2-5yrs,No defect,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y,Asphalt roads,Dry,Daylight,Normal,Rollover,2,1,Going straight,Driver or rider,Male,Under 18,Driver,Normal,Not a Pedestrian,Changing lane to the right,Slight Injury
22:40:00,Friday,31-50,Male,Junior high school,Employee,2-5yr,Long lorry,Owner,Above 10yr,,Market areas,Other,Steep grade downward with mountainous terrain,No junction,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,1,2,Going straight,Driver or rider,Male,18-30,Other,Normal,Not a Pedestrian,Driving under the influence of drugs,Slight Injury
20:16:00,Sunday,31-50,Male,High school,Employee,Above 10yr,Pick up upto 10Q,Governmental,1-2yr,No defect,Residential areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,2,Going straight,Driver or rider,Male,31-50,Other,Normal,Not a Pedestrian,Moving Backward,Slight Injury
20:16:00,Sunday,31-50,Male,High school,Employee,Above 10yr,Lorry (41?100Q),Owner,Unknown,No defect,Other,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,2,Going straight,Passenger,Female,Under 18,Driver,Normal,Not a Pedestrian,Driving carelessly,Slight Injury
20:16:00,Sunday,31-50,Male,Junior high school,Employee,5-10yr,Automobile,Owner,Unknown,No defect,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Darkness - lights lit,Normal,Collision with pedestrians,2,2,Going straight,Driver or rider,Male,18-30,Other,Normal,Not a Pedestrian,No priority to vehicle,Slight Injury
6:20:00,Friday,Unknown,Male,Elementary school,Employee,1-2yr,Public (13?45 seats),Owner,Unknown,No defect,Other,Double carriageway (median),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Moving Backward,Passenger,Male,31-50,Driver,Normal,Not a Pedestrian,Changing lane to the right,Slight Injury
0:43:00,Thursday,Unknown,Female,Junior high school,Owner,5-10yr,Automobile,Organization,1-2yr,No defect,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,1,1,Going straight,Pedestrian,Female,5,Driver,Normal,Unknown or other,Moving Backward,Slight Injury
18:30:00,Wednesday,Under 18,Male,High school,Employee,Below 1yr,Automobile,Owner,2-5yrs,,Other,One way,Tangent road with flat terrain,Y,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Going straight,na,na,na,Driver,Normal,Not a Pedestrian,Changing lane to the left,Slight Injury
7:30:00,Tuesday,31-50,Male,Junior high school,Employee,1-2yr,Automobile,Owner,5-10yrs,No defect,Office areas,Two-way (divided with broken lines road marking),Tangent road with mountainous terrain and,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Male,18-30,Other,Normal,Not a Pedestrian,Driving carelessly,Slight Injury
16:00:00,Thursday,Over 51,Male,Junior high school,Owner,Above 10yr,Stationwagen,Owner,Unknown,,Recreational areas,Two-way (divided with broken lines road marking),Steep grade downward with mountainous terrain,T,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Reversing,Driver or rider,Male,Under 18,Driver,Normal,Not a Pedestrian,No distancing,Slight Injury
15:40:00,Thursday,Over 51,Male,Junior high school,Owner,1-2yr,Public (12 seats),Owner,Unknown,No defect,Church areas,Double carriageway (median),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,na,na,na,Driver,Normal,Not a Pedestrian,Driving under the influence of drugs,Slight Injury
12:15:00,Wednesday,Over 51,Male,Elementary school,Employee,5-10yr,Lorry (41?100Q),Owner,Above 10yr,,Other,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Other,Driver or rider,Male,31-50,Self-employed,Normal,Not a Pedestrian,Driving under the influence of drugs,Slight Injury
12:15:00,Wednesday,Over 51,Male,Junior high school,Employee,5-10yr,Lorry (41?100Q),Owner,1-2yr,No defect,Other,Other,Steep grade downward with mountainous terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Pedestrian,Male,18-30,Driver,Normal,Not a Pedestrian,Driving carelessly,Slight Injury
14:45:00,Monday,Unknown,Male,Junior high school,Employee,Above 10yr,Public (> 45 seats),Owner,2-5yrs,,Office areas,One way,Steep grade downward with mountainous terrain,No junction,Asphalt roads,Wet or damp,Daylight,Raining,Vehicle with vehicle collision,2,1,Moving Backward,Driver or rider,Female,Under 18,Driver,Normal,Not a Pedestrian,Moving Backward,Slight Injury
9:25:00,Tuesday,31-50,Male,Junior high school,Employee,5-10yr,Automobile,Organization,2-5yrs,,Residential areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Collision with pedestrians,2,1,Going straight,na,na,na,Driver,Normal,Not a Pedestrian,Overturning,Slight Injury
17:30:00,Sunday,18-30,Male,Junior high school,Employee,5-10yr,Lorry (11?40Q),Governmental,Below 1yr,No defect,Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Other,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Other,Driver or rider,Male,18-30,Driver,Normal,Not a Pedestrian,No priority to vehicle,Slight Injury
20:31:00,Saturday,18-30,Male,Junior high school,Employee,Above 10yr,Pick up upto 10Q,Owner,Unknown,No defect,Other,One way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,1,1,Going straight,na,na,na,Driver,Normal,Not a Pedestrian,No priority to vehicle,Slight Injury
17:18:00,Wednesday,31-50,Male,Junior high school,Employee,Above 10yr,Lorry (11?40Q),Owner,Unknown,,Church areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Other,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Going straight,Pedestrian,Female,Over 51,Driver,Normal,Crossing from nearside - masked by parked or statioNot a Pedestrianry vehicle,No distancing,Slight Injury
8:46:00,Wednesday,Unknown,Male,Junior high school,Employee,5-10yr,Other,Owner,1-2yr,No defect,Office areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,1,1,Going straight,na,na,na,Driver,Normal,Not a Pedestrian,Changing lane to the left,Slight Injury
